trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,shape_dist_traveled
7327732730651522,11:35:00,11:35:00,2430,4,,
7327732740651522,10:21:00,10:21:00,2539,1,,
7327732740651522,10:22:00,10:22:00,2393,2,,
7327732740651522,10:23:00,10:23:00,2463,3,,
7327732740651522,10:24:00,10:24:00,2430,4,,
7327732750651522,13:03:00,13:03:00,2539,1,,
7327732750651522,13:04:00,13:04:00,2393,2,,
7327732750651522,13:06:00,13:06:00,2463,3,,
7327732750651522,13:07:00,13:07:00,2430,4,,
7327732760651522,13:03:00,13:03:00,2539,1,,
7327732760651522,13:04:00,13:04:00,2393,2,,
7327732760651522,13:06:00,13:06:00,2463,3,,
7327732760651522,13:07:00,13:07:00,2430,4,,
7327732770651522,10:25:00,10:25:00,2539,1,,
7327732770651522,10:26:00,10:26:00,2393,2,,
7327732770651522,10:28:00,10:28:00,2463,3,,
7327732770651522,10:29:00,10:29:00,2430,4,,
7427732720651522,14:21:00,14:21:00,2539,1,,
7427732720651522,14:22:00,14:22:00,2393,2,,
7427732720651522,14:24:00,14:24:00,2463,3,,
7427732720651522,14:25:00,14:25:00,2430,4,,
7427732730651522,11:37:00,11:37:00,2539,1,,
7427732730651522,11:38:00,11:38:00,2393,2,,
7427732730651522,11:39:00,11:39:00,2463,3,,
7427732730651522,11:40:00,11:40:00,2430,4,,
7427732740651522,10:25:00,10:25:00,2539,1,,
7427732740651522,10:26:00,10:26:00,2393,2,,
7427732740651522,10:27:00,10:27:00,2463,3,,
7427732740651522,10:28:00,10:28:00,2430,4,,
7427732750651522,13:09:00,13:09:00,2539,1,,
7427732750651522,13:10:00,13:10:00,2393,2,,
7427732750651522,13:11:00,13:11:00,2463,3,,
7427732750651522,13:12:00,13:12:00,2430,4,,
7427732760651522,13:09:00,13:09:00,2539,1,,
7427732760651522,13:10:00,13:10:00,2393,2,,
7427732760651522,13:11:00,13:11:00,2463,3,,
7427732760651522,13:12:00,13:12:00,2430,4,,
7427732770651522,10:29:00,10:29:00,2539,1,,
7427732770651522,10:30:00,10:30:00,2393,2,,
7427732770651522,10:32:00,10:32:00,2463,3,,
7427732770651522,10:33:00,10:33:00,2430,4,,
7527732720651522,14:26:00,14:26:00,2539,1,,
7527732720651522,14:27:00,14:27:00,2393,2,,
7527732720651522,14:29:00,14:29:00,2463,3,,
7527732720651522,14:30:00,14:30:00,2430,4,,
7527732730651522,11:42:00,11:42:00,2539,1,,
7527732730651522,11:43:00,11:43:00,2393,2,,
